e4460934 AFKDetection2
a2564d38 ASSETS
8b2e412d AbilitiesData
b78525db AbilitiesUiData
d7476fe5 AbilityButton
38453c1c AbilityFxIn
b88bfcb2 AbilityHasteMax
66bd3b1c AbilityIcon
df0ad83b AbilityIconPath
f5e1dca2 AbilityLinks
97aaccb3 AbilityLossIcon
b4a5634a AbilityName
c88c6b61 AbilityPowerIncPerLevel
d47ff1a6 AbilityPromptAnimData
c13ae504 AbilityPrompts
ff1455b7 AbilityResourceBars
c14d71dc AbilityResourceThresholdRangeHighColor
3f68efb8 AbilityResourceThresholdRangeLowColor
cd9cb6c5 AbilityResourceThresholdRangeMediumColor
54eea263 AbilityTooltipUpperRightAnchor
f81238e4 AbilityTraits
8be259f9 Absorbed
59c2bb27 AbsorbedDamageFormat
c24b7dbd AcceptButton
032d7e7c AcceptedVfx
a2b3fa25 Accessorylist
c4642eff Action
0218e0af ActionButton
2904e822 ActionButtonDefinition
dd527b08 ActionText
d2f7a647 ActionType
b5b54664 Actions
de1056f7 ActivateCombatRecapButton
aec10d0a ActivateScoreboardButton
da27e4ab ActivateUnitProperty
0afc0620 ActivationAngle
44ae8168 ActivationDateTime
ef1820ba ActivationDistance
d975992f Active
f94c60e3 ActiveBackground
3a612d64 ActiveBannerIcon
74ff4ff9 ActiveBannerParent
cba07e3e ActiveBodyKey
cfe43398 ActiveCondition
aa4a9078 ActiveDefault
5e27d665 ActiveGameGradient
40c28e91 ActiveGameInviteIcon
8fc7cf0f ActiveHover
3483f35e ActiveIcon
d1fc0241 ActiveIconColor
98dfd6d2 ActiveInviteButton
8e7ea375 ActiveItemTelemetryEventOptions
6b9ffd3e ActiveSelected
2d527e72 ActiveSets
e453a5c6 ActiveSpellFix
2f2037bf ActiveTabScrollRegion
2bc4db90 ActiveTabWithFooterScrollRegion
459ca53e ActiveTitleKey
8c28daf6 ActiveTooltipTraKey
5a8513ed ActiveTraitBackground
ab078ce1 ActiveTraitButton
275a7247 ActiveTraitButtonTemplate
ad64dc55 ActiveTraitData
493cf989 ActiveTraitDataByStyle
387116c1 ActiveTraitGrid
b7c2681c ActiveTraitGroup
2f72ebd3 ActiveTraitHighlightOutline
b3f03180 ActiveTraitIcon
b100a668 ActiveTraitLevelIcon
2de9a1fd ActiveTraitSelectionOutline
06532e95 ActiveTraitsBG
835805da ActiveWheelButtonHoverIntroScene
53e052ad ActiveWheelButtonHoverOutroScene
ae5fd606 ActiveWheelScene
31ae32f8 AdaptiveSkill
db6f2f8d AddAdditionalReticleIfRequiredForGameMode
99aa2d1f AddBonusAttackRangeToCastRange
7a20b0c8 AddFriendButton
1df3a429 AddFriendButtonDefinition
c550545d AddFriendIcon
9255c052 AddPaddingAfterLastItem
a55e849c AddTextSizeToHitRegion
487e35dd AddToTeamFailureSound
ddbea054 AddedCalculationParts
432547b6 AdditionalBarTypes
51ea4860 AdditionalLevelUpLinks
073a7e91 AdditionalMeterSkins
3f1b156a AdditionalPipSpacerTypes
5f80ef7a AdditionalPipTypes
d32dd16e AdditionalPropertyDataPath
8e2030a7 AdditionalPropertyDataPaths
5989220d AdditionalRoots
f5f563c0 AdditionalStatusIcons
a0a0468c AdditionalTextures
9bfe7d81 AdditionalUvSetMask
75b3e2ca Addons
2c6a2953 Address
e71adfe6 AdvancedStats
c78c9a29 AdviceCharBorder0
c68c9896 AdviceCharBorder1
3b1fdb59 AdviceCharBorderHover0
3a1fd9c6 AdviceCharBorderHover1
f4d2ce3c AdviceCharIcon0
f5d2cfcf AdviceCharIcon1
aec4c360 AdviceEmptyIconDefault
59fbbd19 AdviceEmptyIconMythicHover
9566584e AdviceEmptyIconNonMythicHover
e9a0a7f1 AdviceEmptyText
2fc43f29 AdviceEmptyTextHover
c59afad1 AdviceIconDefault
09c2a9d4 AdviceIconHoverMythic
c68c22cf AdviceIconHoverNonMythic
13f36cf9 AdviceLabel
9e6a7234 AgainstVote
3fb502ed Aggro
c5a88418 AhriLarge
70cca125 AiGroupName
3e6c51c8 AiScript
2b88e11e AiUnitName
8b31cd2a AiUnits
d5ef6d17 Airborne
9156f4d4 AlertIcon
81973fba AlertText
d49fb9fe AlignPitchToCamera
c535c0ef AlignYawToCamera
8f78f4b3 AliveIcon
347c5026 AllChatChannelTra
188bc886 AllChatRemoved
321f0c11 AllDimensions
79a37750 AllItemGroupDefinitions
e4143320 AllItemGroupDefinitionsOverride
f6021445 AllItemsHeaderRegion
da5f7006 AllItemsHeaderText
f481f566 AllItemsHeaderTextDimmed
63f6810c AllItemsIconDefinition
b5c9c4ef AllItemsItemRegion
a7ec94da AllShieldBar
e71ceb87 AllVisibilityKey
1429a941 AlliedElementGroup
6211de87 AlliedElements
8eee23e5 AllowBloom
6ee92909 AllowCharacterMaterials
c576c85a AllowDefaultCharacterMaterialCreation
2789a3a8 AllowOverflow
b7024f99 AllowSingleItemSelection
5ed2db8d AllowSkipping
359dd774 AllowedStages
4bf41a2c AllyFrame
372a1376 AllyGem
9c5124c0 AlphaOutWhileUntargetable
29de782e AltLayoutRegion
79c702f3 AlwaysRespawnWithOffset
5b9b0daf Ammo
19c68270 AmmoBg
10bbe6e9 AmmoFx
eb99b458 AmmoText
f785ce49 Amount
3faea5ce AmountHealed
16746aa2 Amplitude
42edcab4 Anchor
7f0a1e81 AnchorBase
5df1b863 AnchorFlippedMinimap
2e21b458 AnchorSpectatorUpdate
80adf252 AnchorTft
caa78dfd AnchorTo
23563745 Anchors
ef4bf7b0 AndConditions
3df4c838 AnimData
e04c974f AnimIn
3626e800 AnimLink
091f9678 AnimScene
