811c9dc5 
340ca71c 1
1beb2a44 10
80333f35 10Year
1ceb2bd7 11
1deb2d6a 12
1eeb2efd 13
17eb23f8 14
18eb258b 15
19eb271e 16
1aeb28b1 17
13eb1dac 18
a7eac9e1 1Cost
a2ff8b24 1Star
1ee760be 1StarAoEDamage
440f813d 1StarBounces
6fb9af6a 1StarShieldValue
370cabd5 2
13957154 2012_Channel
1f037d8e 2012_Channel_Windup
ad33f9f3 2013_Dance
932ad59d 2013_Run_Haste
a5ab3ea6 2013_Spell4
8e8c6ec8 2Cost
aea98661 2Star
a3b999e9 2StarAoEDamage
0d46330d 2StarShieldValue
4ff4792d 2v2Cameo_CameoGlow
975bbea6 2v2Cameo_CameoGlowFriendly
9dfac825 2v2Cameo_CameoGlowHostile
ff26fe78 2v2Cameo_CameoOverhead
9bfc8d5e 2v2Cameo_Gwen_Heal_Indicator_Locked_SORAKA_COPY
32230b03 2v2Cameo_Gwen_Heal_Indicator_SORAKA_COPY
5eeb4391 2v2Cameo_Gwen_Mist_DecayVis
2e79c61e 2v2Cameo_Gwen_Timer
7823436a 2v2Cameo_Gwen_targetting_beam
fe5c53c6 2v2Cameo_Jhin_Platform
4047434c 2v2Cameo_Jhin_R_Big_mis
aaaa1fe1 2v2Cameo_Jhin_R_Choir_Sound
e15fe301 2v2Cameo_Jhin_R_Shell_Child
32928e8c 2v2Cameo_Jhin_R_ViewCone
8ce8591a 2v2Cameo_Jhin_R_mark_big
b5ad0b13 2v2Cameo_Jhin_R_mark_small
d06cafc8 2v2Cameo_Jhin_R_mis_big
2a70d605 2v2Cameo_Jhin_R_mis_small
22424635 2v2Cameo_Jhin_R_small_mis
d1f3fd90 2v2Cameo_Jhin_W_Beam
d8f389c1 2v2Cameo_Jhin_mark_child
1517cabc 2v2Cameo_Jhin_mark_child_big
3f981f08 2v2Cameo_Jhin_mark_small
08c93525 2v2Cameo_Lux_Base_R_cas
d7d1526d 2v2Cameo_Lux_Base_R_mis_beam_middle
e726a85b 2v2Cameo_Lux_Base_R_tar
58705899 2v2Cameo_Lux_Beam_2
748ea1ad 2v2Cameo_Lux_Heimerdinger_TracerBeam
4aa1fe3e 2v2Cameo_Naafiri_Kalista_ViewCOne
8902ece4 2v2Cameo_Naafiri_Kalista_ViewCone2
251a5ce8 2v2Cameo_Naafiri_Nilah_Cone
2ea35d72 2v2Cameo_Naafiri_W_Beam_Packmate
a7f0efea 2v2Cameo_Naafiri_W_Dash
c36bcbf7 2v2Cameo_Naafiri_W_Dash_Packmate
21ff0ae9 2v2Cameo_Naafiri_W_Tar
574072f7 2v2Cameo_Naafiri_W_Tar_Indicator_Overhead_Enemy
5010ce26 2v2Cameo_Naafiri_W_Tar_Packmate
81a3d985 2v2Cameo_Naafiri_W_Windup
54fa76ca 2v2Cameo_Naafiri_W_Windup_Packmate
19c8c8cd 2v2Cameo_Naafiri_W_beam
c312ac2a 2v2Cameo_Pyke_E_Avatar
e4219b40 2v2Cameo_Pyke_E_Cas
e8ab379e 2v2Cameo_Pyke_E_Mis
5dde1b51 2v2Cameo_Pyke_E_Start
