4247cbb9 AIGenericCommon
ef04b183 AISpellData
c0dabd40 AISpellDataInstance
b78525db AbilitiesUiData
dc58b4ae AbilityObject
3cf39939 AbilityObjectInstance
05edb91f AbilityPrompt
1bca1a5e AbilityResourceBarData
50bfad1d AbilityResourceBarTextData
763d871b AbilityResourceByCoefficientCalculationPart
bfd3d808 AbilityResourceByCoefficientCalculationPartInstance
d38f60f9 AbilityResourceDynamicMaterialFloatDriver
05455546 AbilityResourceDynamicMaterialFloatDriverInstance
d20a9a6c AbilityResourcePipSpacerTypeMap
ffd0bda4 AbilityResourcePipTypeMap
9c472cf3 AbilityResourcePipsData
ce31c975 AbilityResourceSlotInfo
3f282782 AbilityResourceSlotInfoInstance
e4c2c335 AbilityResourceStateColorOptions
0d2c5442 AbilityResourceStateColorOptionsInstance
774ddfd2 AbilityResourceStateData
3bc8584d AbilityResourceStateDataInstance
a7d4252a AbilityResourceThresholdIndicatorRange
3b46cceb AbilityResourceTypeConfig
f5770f58 AbilityResourceTypeConfigInstance
b37dda69 AbilityResourceTypeData
b7148c36 AbilityResourceTypeDataInstance
13a06d15 AboveHealthPercentCastRequirement
f67b7f22 AboveHealthPercentCastRequirementInstance
2f6dffc4 AbovePARPercentCastRequirement
dcfc2f9f AbovePARPercentCastRequirementInstance
af905da2 AcceleratingMovement
c496a5dd AcceleratingMovementInstance
3a7d0d25 AcceleratingMovementSpec
eb62095f ActiveItemTelemetryData
387d0a6f AddExperienceCheat
fe8b8bec AddExperienceCheatInstance
c5c3e011 AddGoldCheat
a3d237ae AddGoldCheatInstance
9d4fd959 AddHealthCheat
8f8716a6 AddHealthCheatInstance
64c5291b AddLevelTimer
27b2e176 AddPARCheat
4f1fc491 AddPARCheatInstance
f6032fd0 AdditionalMapContainersConfig
f7fcc091 AiBaseClient
5c93a47b AiBaseCommon
7e4110b9 AiBuildingConfig
c921ca8f AiGenericClient
66615e8b AiHero
e260302c AiHeroClient
11f7583d AiMarker
caa58cb2 AiMinionClient
75e442a0 AiMinionCommon
beba9102 AiTurretClient
70678bd0 AiTurretCommon
e6f4cd4f AiUnitConfig
ead11772 AiUnitConfigBase
d1fc1863 AiUnitConfigLink
d679c1de AiUnitConfigSkinLink
1ce339c4 AiUnitGroup
e0ef6fa3 AllItemsPage
c5ea6ab8 AllItemsSet
9233f657 AllTrueMaterialDriver
59d8de64 AllTrueMaterialDriverInstance
24513314 AlternateSpellAssets
b0ea70cc AlwaysSpawnCondition
7f0a1e81 AnchorBase
df1207c9 AnchorDouble
5338e7f0 AnchorSingle
108cd453 AndInputSourceBool
6b130b1e AndScriptCondition
a39160e9 AndScriptConditionInstance
8f83fb9c AnimatedBuilding
b075bcfd AnimatedBuildingCommon
7fc1d873 AnimationFractionDynamicMaterialFloatDriver
2b579f70 AnimationFractionDynamicMaterialFloatDriverInstance
f5fb07c7 AnimationGraphData
322a4094 AnimationGraphDataInstance
9a4b299d AnimationResourceData
b739cbda AnimationResourceDataInstance
059ff22b AnnouncementDefinition
1df88cb3 AnnouncementDefinitionData
2b7134b7 AnnouncementIcon
0d6825c4 AnnouncementMap
de683827 AnnouncementStyleBasic
48c9ff38 AnnouncementStyleOneIcon
aa95a271 AnnouncementStyleTwoIconsFlanking
50ac95fe AnnouncementsViewController
7dfe9095 AnvilData
9b0f2144 Area
d612119d AreaAim
3031745a AreaClamped
21426d5a ArenaOwnerLevelParametricUpdater
3a249a4b ArenaSkinLoadoutGridButtonData
c9b0aa7f AssistCountFilter
719f1a94 AtlasData
b5d136db AtlasData3SliceH
a3d11a85 AtlasData3SliceV
ab3d1567 AtlasData9Slice
7b542261 AtlasDataBase
27fa22af AtlasDataInstance
5bd9a1e6 AtomicClipData
d54b5581 AtomicClipDataInstance
eeb9d492 AttackCausedDamageConstraintInfo
e6caaf8c AttackEvents
06ad3499 AttackSlotData
02428ae6 AttackSlotDataInstance
9c4f3cc3 AttackSpeedParametricUpdater
2092043f AttackableUnit
865caeee AudioStatusEvents
77c4e579 AudioStatusEventsInstance
3692fac5 AudioSystemDataProperties
994bd692 AudioSystemDataPropertiesInstance
42f9c69e AudioTagListProperties
a3640c69 AudioTagListPropertiesInstance
6dfab860 AugmentData
0c4b6fb6 AugmentDisplayTagData
587d08e4 AugmentFallbackPool
6f1e4224 AugmentSlot
ee55616c AugmentSlotData
62bb343b AutoSpellCastInfo
46533086 AvailableQuestList
a5e0e842 AvatarVars
1ddbf456 AvatarVarsTable
ff6fd571 AvatarVarsTableInstance
f69490f9 BackdropElement
eaf3699f BackdropElementParams
1a1a3dfe BackdropElementTeamParams
0d867eaa Backgrounds
a4416515 BankUnit
4f437722 BankUnitInstance
3a039f11 BankUnitList
d5a2d9af BannerConfiguration
250cef17 BannerData
78bdcbc1 BannerFlagData
4e59189e BannerFlagDataInstance
d47ce07c BannerFrameData
59b164a7 BannerFrameDataInstance
1808fd6b BannerOptions
aff6e0d2 BarElement
0a3a1690 BarElementParams
a75d0fc9 BarElementTeamParams
e09faa59 BarExtensionTipStyle
d0217984 BarTypeMap
d1ed70fe Barracks
4fbc08a8 BarracksConfig
60bb49c0 BarracksDampener
f10cf1d9 BarracksDampenerCommon
ffb1b62c BarracksLevelController
8f0c2ed6 BarracksLink
8129e422 BarracksMinionConfig
bd1b788b BaseBlendData
743623f8 BaseBlendDataInstance
bee45088 BaseElementData
f6c7c333 BaseElementDataInstance
798c7d28 BaseEventData
a93d5ed3 BaseEventDataInstance
b9f4d83f BaseHealthbarData
a84012f3 BaseItemAdvice
41ae8051 BaseItemAdviceSet
f486858e BaseLevelController
95e0c840 BaseLoadoutData
e26c2c7b BaseLoadoutDataInstance
be8b36ac BasePerk
72a165de BaseResourceResolver
814185a9 BaseResourceResolverInstance
b2dd588a BaseRigPoseModifierData
ef141775 BaseRigPoseModifierDataInstance
95e52c4c BasicAttackSlotIntDriver
64a133b3 BasicSkinAugment
e5a69c70 BasicSpellSlotIntDriver
84c11b53 BattleBunnyMissFortuneViewController
4ce83b90 BeforeTimeConstraintInfo
1dffbaa3 BehaviorDebugPrintToChatBlock
572b790b BehaviorLevelController
9d68d825 BehaviorMapConfig
5eac2a00 BehaviorScript
15120d07 BehaviorScriptContainer
8a320759 BehaviorTreeConfig
85f19f5c BerserkTargetingParameters
e885e978 BerserkTargetingPriorityList
afb0749d BezierPath
0f63704f BezierSegment
e1df3f2f BinFileContainer
cc2ddcc0 BlendData
505dd936 BlendableClipData
7edc0651 BlendableClipDataInstance
294cb1a0 BlendedLinearHeightSolver
b01e2bdb BlendedLinearHeightSolverInstance
5703b96f BlendingSwitchMaterialDriver
da87dd3f Blnd2GdsMapping
cee38e26 BoolDefaultTableGet
451a117f BoolGet
5fcc6c3c BoolGetInstance
bbb116a1 BoolTableGet
0271a87e BoolTableGetInstance
a2a7edad BoolTableSet
c2c80e2a BoolTableSetInstance
d6073b2e BoolValueGet
5c2449a6 BorderPropertyData
38eee8e5 BorderSkinAugment
f195e56b BotsSpellData
8cc53493 BountyIndicator
0a3dad89 BreakBlock
8e93d8ee Breakpoint
8f0026f9 BroadcastViewController
bdeef3a1 BrowserElementData
0671b2d4 BrowserInstanceData
4ad0847a BuffCounterByCoefficientCalculationPart
5394dfe5 BuffCounterByCoefficientCalculationPartInstance
7af9aae9 BuffCounterByNamedDataValueCalculationPart
e0e9ecb6 BuffCounterByNamedDataValueCalculationPartInstance
5756e080 BuffCounterDynamicMaterialFloatDriver
0fced1bb BuffCounterDynamicMaterialFloatDriverInstance
4633d794 BuffData
5e497faf BuffDataInstance
cff0bd42 BuffDisplayData
34270fce BuffDisplayList
e76e6115 BuffEffect
209cf85d BuffModifier
787e8697 BuffScript
6e724e69 BuffStackingSettings
1c1f1f6e BuffStackingTemplate
f7d7b67b BufferedInputChain
8cbd6cae BufferedInputData
3ccabb2e BuildingClient
9f4f8824 BuildingCommon
5cf69ece ByCharLevelBreakpointsCalculationPart
2421b258 ByCharLevelFormulaCalculationPart
15fecdbc ByCharLevelInterpolationCalculationPart
fa6892e7 ByCharLevelInterpolationCalculationPartInstance
663d5e00 ByItemEpicnessCountCalculationPart
779735b5 CCScoreMultipliers
b38c96c2 CCScoreMultipliersInstance
ede5bb41 CSSIcon
bd264fe3 CSSSheet
571b1165 CSSStyle
d816716a CallFunctionBlock
9bae0be4 CallOnMissileBounce
27906177 CallOnMissileBounceOnMovementComplete
9a040e84 CallOnMissileBounceOnMovementCompleteInstance
50c5aae0 CallOnMissileBounceOnMovementCompleteSpec
dff5a8f8 CameraConfig
2a406a23 CameraConfigInstance
47fc4706 CameraTrapezoid
86d1477b CandidateListViewController
aa25504e Cast
f8b77a74 CastOnDistanceFromCaster
d9f51778 CastOnHit
8caf28a3 CastOnHitInstance
b4ae5753 CastOnHitSpec
9dac1d45 CastOnMovementComplete
c9d6c912 CastOnMovementCompleteInstance
2bdebf3e CastOnMovementCompleteSpec
242ed7dc CatalogEntry
108deea5 CcBehaviorData
666f9b2c CcBehaviorsConfig
d845a4ab CelebrationLabFields
7b548612 CelebrationViewController
d06263ff CensoredImage
00e7903e Challenge
ddadab02 ChallengeCompletionLevel
b36600f0 ChallengeConfigData
f09041d0 ChallengeMapAreaGroupCheck
512e2440 ChallengeTitleData
2044c86f ChampSelectCharacterData
f3540c8e ChampSelectCharacterRecord
05df60ee ChampSelectCharacterSkinData
528c901a ChampSelectSummonerSpellData
ea595ca6 Champion
cd940ce3 ChampionAugmentTagList
4884dcb8 ChampionAugmentTags
d3595b68 ChampionBaseItemAdvice
4084af1e ChampionGoldUiData
197b4441 ChampionInstance
c6f41267 ChampionItemRecommendations
a5d193ef ChampionMasteryMap
ad06db03 ChampionMetadata
480cc223 ChampionNameUiData
29f3a370 ChampionPerkKeystoneUiData
111d19c1 ChampionRuneRecommendation
56cec8e1 ChampionRuneRecommendationsContext
9c266935 ChampionSelectionViewController
bc4c4051 ChampionSpecificStatStoneData
0878a4ee ChampionSpecificStatStoneDataInstance
8dbc107d ChampionTransformSelectionViewController
37b29285 ChangeHeightSolver
d94733d6 ChangeMissileSpeed
cd2f704e ChangeMissileSpeedOnDelay
24d0f2d9 ChangeMissileSpeedOnDelayInstance
3cd8dbcd ChangeMissileWidth
4fe40e4a ChangeMovementSpeedCheat
66a45d70 ChangeTurnRadius
b60f0432 CharScript
8b3aa710 Character
11b71b5e CharacterHealthBarDataRecord
56e86b29 CharacterHealthBarDataRecordInstance
9061c7b5 CharacterInitRequirement
db69f5cb CharacterInstance
07c20fe9 CharacterLevelRequirement
a939f1b6 CharacterLevelRequirementInstance
c6228969 CharacterOverrides
8ea3ea45 CharacterPassiveData
fc4f4b05 CharacterPreloadData
4a2608e1 CharacterPreloadList
34274458 CharacterQuestDefinitionsData
542f6458 CharacterQuestListConfig
0752442e CharacterQuestListData
